outcome,subset,estimate,std.error,p.value,outcome_vars_labels,outcome_vars_labels2,outcome_vars_labels_regtable,outcome_vars_cat,ci95_lo,ci95_hi,ci99_lo,ci99_hi,estimate_fmt
vig_perc_offensive2,Ideologically discordant,0.051933981125483475,0.005121234336432084,3.636922365336458e-24,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions,0.04189654626968671,0.06197141598128024,0.03874255565136091,0.06512540659960604,+5.2
vig_perc_hate2,Ideologically discordant,0.04227719605693981,0.0035393289677296317,6.897108499803115e-33,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions,0.03534023875075041,0.04921415336312921,0.033160488786962344,0.051393903326917276,+4.2
vig_remove,Ideologically discordant,0.0487424880567963,0.00380983810919391,1.77465497758888e-37,Remove post,Remove post,Remove<br>post,Actions,0.041275342575848056,0.05620963353774454,0.03892899541335729,0.05855598070023531,+4.9
vig_ban,Ideologically discordant,0.04213144220103299,0.0031547303975126453,1.1074977936338856e-40,Ban sender,Ban sender,Ban<br>sender,Actions,0.035948284240974474,0.0483146001610915,0.03400539519832345,0.050257489203742525,+4.2
vig_legal,Ideologically discordant,0.030673654667878483,0.003009043725815339,2.1129148368441467e-24,Legal action,Legal action,Legal<br>sanction,Actions,0.024776037337374202,0.03657127199838276,0.022922871663263372,0.038424437672493594,+3.1
vig_job,Ideologically discordant,0.02568135370696478,0.0026850733174811365,1.1275731566553742e-21,Job loss,Job loss,Job<br>loss,Actions,0.02041870670885227,0.030944000705077288,0.01876506317361961,0.03259764424030995,+2.6
vig_perc_offensive2,Ideologically concordant,0.06356573521615104,0.005105371406288256,1.3852621689432953e-35,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions,0.053559391132125454,0.07357207930017662,0.050415169942333096,0.07671630048996898,+6.4
vig_perc_hate2,Ideologically concordant,0.058917708069843415,0.0037778990052152166,7.82766583310891e-55,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions,0.05151316208239189,0.06632225405729493,0.049186485106361824,0.068648931033325,+5.9
vig_remove,Ideologically concordant,0.06604842920189996,0.0038707976062831006,2.7856221571629527e-65,Remove post,Remove post,Remove<br>post,Actions,0.058461805302141234,0.07363505310165869,0.05607791529952901,0.0760189431042709,+6.6
vig_ban,Ideologically concordant,0.05329105756765313,0.00334576978278191,4.058129903808676e-57,Ban sender,Ban sender,Ban<br>sender,Actions,0.046733469292838184,0.05984864584246807,0.04467292571823504,0.061909189417071214,+5.3
vig_legal,Ideologically concordant,0.04051939880334274,0.003181180300532968,3.6724110713911277e-37,Legal action,Legal action,Legal<br>sanction,Actions,0.03428439998596982,0.046754397620715656,0.032325221365357426,0.04871357624132805,+4.1
vig_job,Ideologically concordant,0.0409768988648021,0.0029022067722829477,2.891700736881747e-45,Job loss,Job loss,Job<br>loss,Actions,0.03528867811543929,0.04666511961416492,0.033501309615797614,0.04845248811380659,+4.1
