outcome,unit,estimate,std.error,z,p.value,p_adj_BH,sig_01,sig_01_adj,outcome_vars_labels,outcome_vars_labels2,outcome_vars_labels_regtable,outcome_vars_cat
vig_perc_offensive2,pooled,0.07329305238140506,0.0029667504541100917,24.70482553726956,9.491184242160546e-135,1.3667305308711186e-133,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,bra,0.08460850997770328,0.008463986371698103,9.996295629754014,1.582046795183054e-23,3.7969123084393295e-23,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,col,0.026234061606385375,0.012002194256484537,2.185772121811114,0.02883228133456663,0.03207524451056096,FALSE,FALSE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,ger,0.06744289434420551,0.008550102079916487,7.8879636422848725,3.0715721413674876e-15,5.670594722524593e-15,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,ind,0.07372933044083281,0.008639826160599925,8.533659019328375,1.4179033628288135e-17,2.686553740096699e-17,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,idn,0.007565005261358879,0.01704814504679986,0.4437436002915121,0.6572279689863196,0.6572279689863196,FALSE,FALSE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,nig,0.05211634584866275,0.020179899815336674,2.582586946693088,0.009806264933956688,0.011387920568465833,TRUE,FALSE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,phl,0.02665813177507848,0.012205691270234078,2.184073903301934,0.028956817960923083,0.03207524451056096,FALSE,FALSE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,pol,0.07254776504027145,0.009561263208206314,7.587675755856674,3.2569467813524163e-14,5.862504206434349e-14,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,tur,0.04694189552243456,0.013625989128141164,3.4450266385056407,5.710031159502973e-4,6.852037391403567e-4,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,gbr,0.10138748926871902,0.008519759032687141,11.90027662516428,1.1795550594847527e-32,7.077330356908516e-32,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_offensive2,usa,0.10347919453499725,0.006491020550011737,15.941899080077654,3.2434520271928933e-57,3.3361220851126907e-56,TRUE,TRUE,Percentage of offensive content,Offensive,Offensive<br>speech,Perceptions
vig_perc_hate2,pooled,0.060221396736151483,0.002154468461314104,27.951858111406203,6.258241199869427e-172,2.252966831952994e-170,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,bra,0.08250747209118117,0.006266858801297186,13.165682315054367,1.3828270741182871e-39,1.1062616592946297e-38,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,col,0.052856591092628705,0.009342151567303033,5.65786058081348,1.532715605058967e-8,2.2071104712849124e-8,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,ger,0.06201789871156261,0.006200874899008545,10.001475553309199,1.501429742305757e-23,3.727687636069466e-23,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,ind,0.06726525373441722,0.0066061211303227625,10.182261633935672,2.3796531510572837e-24,6.853401075044977e-24,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,idn,0.031741381992743414,0.013164194495868241,2.4111905975489707,0.015900536588661376,0.018172041815613,FALSE,FALSE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,nig,0.022559094694725414,0.014852181959356387,1.5189077777567845,0.12878571099791564,0.13839658495298396,FALSE,FALSE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,phl,0.04256681725331434,0.009360340454099825,4.547571475850549,5.426849240846539e-6,6.977377595374122e-6,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,pol,0.06695865947550397,0.006959259846188998,9.621520241433664,6.4865291738063005e-22,1.506548711335657e-21,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,tur,0.07054971817183796,0.0106609628255706,6.617574728112043,3.65139650037378e-11,5.5936286814236636e-11,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,gbr,0.06835167731913375,0.005137374759151526,13.304787079699539,2.1711073325650624e-40,1.953996599308556e-39,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_perc_hate2,usa,0.04345109622191951,0.003580555260645416,12.135295522317172,6.866167153662106e-34,4.494218500578834e-33,TRUE,TRUE,Percentage of hate speech,Hate speech,Hate<br>speech,Perceptions
vig_remove,pooled,0.06363386605460142,0.0022076315813116614,28.824495261475395,1.0581334852879632e-182,7.618561094073335e-181,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,bra,0.07580658038038977,0.005979580257704389,12.677575534288849,7.872956183290843e-37,5.668528451969407e-36,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,col,0.06228576750568254,0.009207845167886109,6.764423854879154,1.3384072717266376e-11,2.0948983383547372e-11,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,ger,0.0690399198068086,0.006512067880922687,10.601842773946395,2.921657148577922e-26,1.051796573488052e-25,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,ind,0.08085001871849806,0.007165081527693579,11.283893756966568,1.5761190267358375e-29,7.56537132833202e-29,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,idn,0.052022125530236975,0.013527076155178772,3.845777530447374,1.2017075961279353e-4,1.491774946917437e-4,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,nig,0.021950148550415466,0.01716600586541985,1.2786986514220562,0.20100319478077108,0.20974246411906547,FALSE,FALSE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,phl,0.052704572554441206,0.009635181714622201,5.470013344372901,4.5000169599320945e-8,6.230792713752131e-8,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,pol,0.066600814295608185,0.0065052023391920155,10.238084969987328,1.3385963451482463e-24,4.190388558724945e-24,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,tur,0.09745217169741106,0.01045760232241957,9.31878729873748,1.1767757394407558e-20,2.4207958068495545e-20,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,gbr,0.06768658328123303,0.006098479689991772,11.09892739207013,1.2695834620916382e-28,5.713125579412372e-28,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_remove,usa,0.03328631351599145,0.003792814513680514,8.776151165824004,1.6916441219721773e-18,3.291848021135048e-18,TRUE,TRUE,Remove post,Remove post,Remove<br>post,Actions
vig_ban,pooled,0.052199234208617766,0.0018747364343275998,27.843505493794783,1.2909648265535653e-170,3.0983155837285565e-169,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,bra,0.05843197735509786,0.004948024550060329,11.809152675765406,3.500713432285285e-32,1.938856670188773e-31,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,col,0.057090525883069086,0.00825683619411411,6.914334321391297,4.700654177383329e-12,7.691979562990902e-12,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,ger,0.052195428772320654,0.00549589123318564,9.497172807414909,2.15665961808016e-21,4.8524841406803595e-21,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,ind,0.06640594181401767,0.0063003416520783714,10.540054092481084,5.646641098536966e-26,1.9359912337841026e-25,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,idn,0.05926999193582806,0.012077654291033779,4.907409212716825,9.228735112947519e-7,1.2304980150596692e-6,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,nig,0.011734434678523642,0.013845855290483768,0.8475052232120827,0.39671357695727244,0.408048250584623,FALSE,FALSE,Ban sender,Ban sender,Ban<br>sender,Actions
