resp_country2,outcome,myside_alone,myside_net_ideology,sorting,n,country,oversample,sepcountry,attenuation
bra,vig_remove,0.07580658038038977,0.06142244914379868,0.313559992056104,15546,Brazil,latino,TRUE,0.014384131236591095
col,vig_remove,0.06228576750568254,0.05272198463418782,0.18221935315147136,7833,Colombia,latino,TRUE,0.009563782871494723
ger,vig_remove,0.0690399198068086,0.07338232666069713,0.3473716097793469,11663,Germany,white,TRUE,-0.004342406853888536
ind,vig_remove,0.08085001871849806,0.08069163501143017,0.10622976160251917,12548,India,southasian,TRUE,1.583837070678884e-4
idn,vig_remove,0.052022125530236975,0.07092504316130832,0.07005457936371515,2840,Indonesia,southasian,TRUE,-0.018902917631071346
nig,vig_remove,0.021950148550415466,0.01010508337804094,0.011442121437960848,2029,Nigeria,black,TRUE,0.011845065172374526
phl,vig_remove,0.052704572554441206,0.045676779754564835,0.13869636351787823,6307,Philippines,eastasian,TRUE,0.0070277927998763715
pol,vig_remove,0.066600814295608185,0.06255716224268773,0.4056383197793851,10405,Poland,white,TRUE,0.0040436520529204545
tur,vig_remove,0.09745217169741106,0.10370212431444316,0.22396323214877256,5954,Turkey,arabic,TRUE,-0.006249952617032095
gbr,vig_remove,0.06768658328123303,0.06413406846889073,0.34851799333560124,10717,United Kingdom,white,TRUE,0.0035525148123422973
usa,vig_remove,0.03328631351599145,0.024907997399826045,0.5050231222049982,17326,United States,white,TRUE,0.008378316116165404
